date,crop,market,price_per_quintal
2026-01-01,Cotton,Ahmedabad APMC,6931
2026-01-01,Cotton,Vadodara APMC,6264
2026-01-01,Cotton,Surat APMC,7053
2026-01-01,Cotton,Rajkot APMC,6744
2026-01-01,Cotton,Anand APMC,6485
2026-01-01,Wheat,Ahmedabad APMC,2695
2026-01-01,Wheat,Vadodara APMC,2200
2026-01-01,Wheat,Surat APMC,2888
2026-01-01,Wheat,Rajkot APMC,2486
2026-01-01,Wheat,Anand APMC,2314
2026-01-01,Groundnut,Ahmedabad APMC,6171
2026-01-01,Groundnut,Vadodara APMC,5635
2026-01-01,Groundnut,Surat APMC,6414
2026-01-01,Groundnut,Rajkot APMC,5964
2026-01-01,Groundnut,Anand APMC,5763
2026-01-01,Tomato,Ahmedabad APMC,1875
2026-01-01,Tomato,Vadodara APMC,1283
2026-01-01,Tomato,Surat APMC,2084
2026-01-01,Tomato,Rajkot APMC,1702
2026-01-01,Tomato,Anand APMC,1508
2026-01-02,Cotton,Ahmedabad APMC,6888
2026-01-02,Cotton,Vadodara APMC,6356
2026-01-02,Cotton,Surat APMC,7110
2026-01-02,Cotton,Rajkot APMC,6776
2026-01-02,Cotton,Anand APMC,6568
2026-01-02,Wheat,Ahmedabad APMC,2759
2026-01-02,Wheat,Vadodara APMC,2200
2026-01-02,Wheat,Surat APMC,2939
2026-01-02,Wheat,Rajkot APMC,2553
2026-01-02,Wheat,Anand APMC,2362
2026-01-02,Groundnut,Ahmedabad APMC,6225
2026-01-02,Groundnut,Vadodara APMC,5590
2026-01-02,Groundnut,Surat APMC,6410
2026-01-02,Groundnut,Rajkot APMC,6044
2026-01-02,Groundnut,Anand APMC,5833
2026-01-02,Tomato,Ahmedabad APMC,1892
2026-01-02,Tomato,Vadodara APMC,1284
2026-01-02,Tomato,Surat APMC,2088
2026-01-02,Tomato,Rajkot APMC,1723
2026-01-02,Tomato,Anand APMC,1496
2026-01-03,Cotton,Ahmedabad APMC,6933
2026-01-03,Cotton,Vadodara APMC,6331
2026-01-03,Cotton,Surat APMC,7168
2026-01-03,Cotton,Rajkot APMC,6732
2026-01-03,Cotton,Anand APMC,6565
2026-01-03,Wheat,Ahmedabad APMC,2792
2026-01-03,Wheat,Vadodara APMC,2208
2026-01-03,Wheat,Surat APMC,2986
2026-01-03,Wheat,Rajkot APMC,2572
2026-01-03,Wheat,Anand APMC,2399
2026-01-03,Groundnut,Ahmedabad APMC,6288
2026-01-03,Groundnut,Vadodara APMC,5635
2026-01-03,Groundnut,Surat APMC,6468
2026-01-03,Groundnut,Rajkot APMC,6030
2026-01-03,Groundnut,Anand APMC,5890
2026-01-03,Tomato,Ahmedabad APMC,1898
2026-01-03,Tomato,Vadodara APMC,1333
2026-01-03,Tomato,Surat APMC,2120
2026-01-03,Tomato,Rajkot APMC,1719
2026-01-03,Tomato,Anand APMC,1536
2026-01-04,Cotton,Ahmedabad APMC,7001
2026-01-04,Cotton,Vadodara APMC,6428
2026-01-04,Cotton,Surat APMC,7179
2026-01-04,Cotton,Rajkot APMC,6845
2026-01-04,Cotton,Anand APMC,6563
2026-01-04,Wheat,Ahmedabad APMC,2817
2026-01-04,Wheat,Vadodara APMC,2229
2026-01-04,Wheat,Surat APMC,3033
2026-01-04,Wheat,Rajkot APMC,2620
2026-01-04,Wheat,Anand APMC,2429
2026-01-04,Groundnut,Ahmedabad APMC,6262
2026-01-04,Groundnut,Vadodara APMC,5698
2026-01-04,Groundnut,Surat APMC,6485
2026-01-04,Groundnut,Rajkot APMC,6108
2026-01-04,Groundnut,Anand APMC,5896
2026-01-04,Tomato,Ahmedabad APMC,1895
2026-01-04,Tomato,Vadodara APMC,1308
2026-01-04,Tomato,Surat APMC,2107
2026-01-04,Tomato,Rajkot APMC,1698
2026-01-04,Tomato,Anand APMC,1527
2026-01-05,Cotton,Ahmedabad APMC,7024
2026-01-05,Cotton,Vadodara APMC,6479
2026-01-05,Cotton,Surat APMC,7277
2026-01-05,Cotton,Rajkot APMC,6872
2026-01-05,Cotton,Anand APMC,6599
2026-01-05,Wheat,Ahmedabad APMC,2898
2026-01-05,Wheat,Vadodara APMC,2300
2026-01-05,Wheat,Surat APMC,3070
2026-01-05,Wheat,Rajkot APMC,2694
2026-01-05,Wheat,Anand APMC,2475
2026-01-05,Groundnut,Ahmedabad APMC,6300
2026-01-05,Groundnut,Vadodara APMC,5739
2026-01-05,Groundnut,Surat APMC,6528
2026-01-05,Groundnut,Rajkot APMC,6114
2026-01-05,Groundnut,Anand APMC,5951
2026-01-05,Tomato,Ahmedabad APMC,1904
2026-01-05,Tomato,Vadodara APMC,1333
2026-01-05,Tomato,Surat APMC,2110
2026-01-05,Tomato,Rajkot APMC,1743
2026-01-05,Tomato,Anand APMC,1539
2026-01-06,Cotton,Ahmedabad APMC,7124
2026-01-06,Cotton,Vadodara APMC,6432
2026-01-06,Cotton,Surat APMC,7254
2026-01-06,Cotton,Rajkot APMC,6829
2026-01-06,Cotton,Anand APMC,6665
2026-01-06,Wheat,Ahmedabad APMC,2930
2026-01-06,Wheat,Vadodara APMC,2322
2026-01-06,Wheat,Surat APMC,3109
2026-01-06,Wheat,Rajkot APMC,2718
2026-01-06,Wheat,Anand APMC,2541
2026-01-06,Groundnut,Ahmedabad APMC,6350
2026-01-06,Groundnut,Vadodara APMC,5737
2026-01-06,Groundnut,Surat APMC,6573
2026-01-06,Groundnut,Rajkot APMC,6160
2026-01-06,Groundnut,Anand APMC,5968
2026-01-06,Tomato,Ahmedabad APMC,1904
2026-01-06,Tomato,Vadodara APMC,1311
2026-01-06,Tomato,Surat APMC,2103
2026-01-06,Tomato,Rajkot APMC,1710
2026-01-06,Tomato,Anand APMC,1542
2026-01-07,Cotton,Ahmedabad APMC,7131
2026-01-07,Cotton,Vadodara APMC,6528
2026-01-07,Cotton,Surat APMC,7293
2026-01-07,Cotton,Rajkot APMC,6955
2026-01-07,Cotton,Anand APMC,6734
2026-01-07,Wheat,Ahmedabad APMC,2977
2026-01-07,Wheat,Vadodara APMC,2387
2026-01-07,Wheat,Surat APMC,3175
2026-01-07,Wheat,Rajkot APMC,2773
2026-01-07,Wheat,Anand APMC,2564
2026-01-07,Groundnut,Ahmedabad APMC,6357
2026-01-07,Groundnut,Vadodara APMC,5805
2026-01-07,Groundnut,Surat APMC,6603
2026-01-07,Groundnut,Rajkot APMC,6151
2026-01-07,Groundnut,Anand APMC,5946
2026-01-07,Tomato,Ahmedabad APMC,1955
2026-01-07,Tomato,Vadodara APMC,1307
2026-01-07,Tomato,Surat APMC,2109
2026-01-07,Tomato,Rajkot APMC,1740
2026-01-07,Tomato,Anand APMC,1510
2026-01-08,Cotton,Ahmedabad APMC,7182
2026-01-08,Cotton,Vadodara APMC,6549
2026-01-08,Cotton,Surat APMC,7371
2026-01-08,Cotton,Rajkot APMC,6903
2026-01-08,Cotton,Anand APMC,6744
2026-01-08,Wheat,Ahmedabad APMC,3019
2026-01-08,Wheat,Vadodara APMC,2433
2026-01-08,Wheat,Surat APMC,3224
2026-01-08,Wheat,Rajkot APMC,2828
2026-01-08,Wheat,Anand APMC,2611
